stateAbbr,placeName,population2010,noHealthInsurance,highBP,asthma,smoker,noLeisureExercise,obeese,sleepDeprived
IA,Des Moines,203433,12.6,31.3,9.6,20.1,26.5,39.3,32.7
IA,Iowa City,67862,8.7,28.7,8.9,15.3,22.1,32.7,27.5
IA,Sioux City,82684,13.5,28.8,9.7,21.8,29.3,35.8,29.3
IA,Waterloo,68406,12,31,9.8,22.9,28.6,36.7,30.4
KS,Kansas City,145786,26.3,38.1,10.3,24.1,39.3,40,36.9
KS,Lawrence,87643,13.4,29.8,9,17.8,23.9,29.9,29.6
KS,Olathe,125872,13.1,26.4,8.7,13.6,23.5,28,26.7
KS,Overland Park,173372,10.7,25.1,8.3,11.5,20.9,26.1,25.6
KS,Topeka,127473,18,34.1,9.9,22.1,30.1,38.1,33.1
KS,Wichita,382368,18.9,33.5,9.3,20.5,30.8,34.2,35.6
KY,Lexington,295803,9.2,34.8,10.2,20.7,29.9,31,39.2
KY,Louisville,597337,10,38,10.8,23.3,33.1,34.5,38
LA,Baton Rouge,229493,14.9,42.4,9.6,22.4,35.3,37.7,38.6
LA,Kenner,66702,16.9,35.9,8.8,21,31.4,36,38.6
LA,Lafayette,120623,13.4,35.6,9.4,20.9,30.9,33.9,37.7
LA,Lake Charles,71993,15.5,40.9,10,24.2,34.2,38,42.1
LA,New Orleans,343829,14.6,40,9.8,22.1,30.2,36.1,40.8
LA,Shreveport,199311,15.9,41.4,10,24.8,35.4,40.9,38.6
ME,Portland,66194,12.8,27.4,10.3,15.5,20.7,24.1,31.6
MD,Baltimore,620961,12.8,37.6,11.2,22,31.8,39.6,43.2
MA,Boston,617594,10.1,28.5,10.9,16.7,25.2,26.7,36
MA,Brockton,93810,12.1,32.5,12.8,23.3,31.3,34.1,44.4
MA,Cambridge,105162,5.8,25.3,9.6,10.6,20.1,23.2,31.8
MA,Fall River,88857,11.4,31.1,12.6,24.8,33.1,33,40.3
MA,Lawrence,76377,21.3,32.5,11.2,18.8,36.9,34.4,40.2
MA,Lowell,106519,11.9,29.7,10.7,18.9,31.3,27.6,36.6
MA,Lynn,90329,13.8,31.1,11.6,18.8,30.9,30.3,39.7
MA,New Bedford,95072,12.9,31.5,12.7,24,33.4,34,40.8
MA,Newton,85146,4.8,22.6,9.3,9.6,17.8,20.7,29.8
MA,Quincy,92271,7.6,27.7,9.7,16.1,23.7,22.7,34.4
MA,Somerville,75754,6.9,25.6,10,12.4,21.7,24.2,32.1
MA,Springfield,153060,15.9,34.2,12,21.7,34.4,35.9,39.2
MA,Worcester,181045,11.4,30.6,11.5,19.4,28.8,31.4,38.6
MI,Ann Arbor,113934,7.8,25.2,9.2,12,18.7,28.3,31.1
MI,Dearborn,98153,12.9,32.8,11.8,26.1,29.7,32.2,39.7
MI,Detroit,713777,19,46.7,14.2,29.3,39.2,44.9,50.1
MI,Farmington Hills,79740,8,26.9,9.7,13.6,20.6,25.1,33.8
MI,Flint,102434,17.2,45.4,13.1,28.9,37.1,48.2,48.8
MI,Grand Rapids,188040,13.8,32.1,10.7,19.7,27.4,35,36.5
MI,Kalamazoo,74262,12.6,34.2,11.3,23.5,28.9,36.3,39.4
MI,Lansing,114297,13.5,34.3,11.3,22.4,28.7,35.9,39.7
MI,Livonia,96942,8.5,27.7,10.3,18.2,21.8,26.3,36.4
MI,Rochester Hills,70995,7.6,24.8,9.2,13.1,19.4,23.2,32.1
MI,Southfield,71739,11,35.6,11.8,16.8,26,34.3,40.4
MI,Sterling Heights,129699,10.8,31.1,10.5,22,27.5,31.7,37.6
MI,Troy,80980,7.5,24.5,8.8,12.3,19.2,21.7,32.5
MI,Warren,134056,12.9,34,11.2,25.6,31.3,35.3,39.9
MI,Westland,84094,11.8,32.4,11.5,23.3,27.8,31.1,40.4
MI,Wyoming,72125,14.1,30,10.4,20.4,27.4,33,35.6
MN,Bloomington,82893,10.5,22.6,7.6,14,20.9,24.1,28.4
MN,Brooklyn Park,75781,12.8,25.6,8,15.8,24.4,26.2,31.6
MN,Duluth,86265,10.9,26.2,8.5,20,26.6,28.9,33.3
MN,Minneapolis,382578,12.3,25.7,8,15.4,23.7,27.5,30
MN,Plymouth,70576,7.9,21.1,7.1,11.3,17.8,22,26.7
MN,Rochester,106769,10,23.4,7.8,14.2,25.1,29.7,31.4
MN,St. Paul,285068,13.6,26.1,8.2,17.8,29.2,28.6,30.4
MS,Gulfport,67793,20.4,39.8,10,24.8,33,36.9,38.2
MS,Jackson,173514,21.9,44,11.2,22.6,35.8,39.1,40.6
MO,Columbia,108500,13.3,28.9,9.2,18.4,26,31,32.1
MO,Independence,116830,17.5,28.8,9.3,24.8,29.8,32,37
MO,Kansas City,459787,17.4,31.9,9.5,21.4,29.9,35.7,38.2
MO,Lee's Summit,91364,11.5,25.3,8.4,17.2,22.2,27.5,33.7
MO,O'Fallon,79329,11.7,26,8.6,17.5,23.3,28.7,32.6
MO,St. Joseph,76780,17.2,30.3,10,25.2,33.3,35.2,35.3
MO,St. Louis,319294,18.2,35.7,10.5,24,31.7,36.4,37.7
MO,Springfield,159498,16.2,31,9.7,23.9,31.4,33.9,33.5
MT,Billings,104170,12.2,24.2,9.5,19,25.2,26.4,31
MT,Missoula,66788,11,25.4,9.2,18.2,24,24.6,28.5
NE,Lincoln,258379,13.5,26.3,8.6,15.5,22.5,31.4,28.3
NE,Omaha,408958,16.6,31.1,8.6,18.3,25.5,34,31.8
NV,Henderson,257729,13.6,28.3,9.6,17.7,24.7,24.4,38.2
NV,Las Vegas,583756,20.2,31.4,10,20.3,29.9,28,40.5
NV,North Las Vegas,216961,22.4,33.3,10.4,21,32.1,29.6,42.3
NV,Reno,225221,16.2,28.5,9.8,18.4,23.5,24.6,33.7
NV,Sparks,90264,16.5,28.2,9.9,18.5,23.7,24.4,33.8
NH,Manchester,109565,12.7,28.8,11.2,19,27.6,31.4,36
NH,Nashua,86494,11.7,27.3,10.7,16.7,25.4,29.4,35.1
NJ,Camden,77344,27.6,43.5,11,25.8,45.4,44.7,49.6
NJ,Clifton,84136,15.9,28.1,8.3,14.7,29.3,22.9,36.9
NJ,Elizabeth,124969,26.2,33.9,9,19.5,39.3,33.2,43.5
NJ,Jersey City,247597,15.7,34.1,8.5,16.4,32.6,27.9,43
NJ,Newark,277140,23.2,40,11.1,21.5,42,39.2,48.9
NJ,Passaic,69781,32,35.3,9.1,20.3,43.9,32.1,41.2
NJ,Paterson,146199,28.1,37.3,9.8,20.4,42.7,33.2,43.1
NJ,Trenton,84913,24.6,40.5,10.7,24.2,40.9,39,45.2
NJ,Union City,66455,28.8,34.2,8.3,18.4,40.2,33.9,42
NM,Albuquerque,545852,14.5,26.3,10,17.2,22.2,27.2,32.4
NM,Las Cruces,97618,16.2,29.8,9.6,17.3,23.8,28.7,32.2
NM,Rio Rancho,87521,12,25.5,9.6,16.8,20.8,26.5,31.3
NM,Santa Fe,67947,14.1,22.1,9,14.7,20.1,19.8,27.8
NY,Albany,97856,12.3,31.4,10.7,19.3,28.6,31.3,38.7
NY,Buffalo,261310,14.5,37.7,11.8,24.1,34.9,36.3,42.7
NY,Mount Vernon,67292,14.8,34.5,11.6,17.7,29.3,31.8,41.3
NY,New Rochelle,77062,14.3,27.6,9.6,14.4,25.1,25.8,35.5
NY,New York,8175133,16.1,28.6,9.6,16,30,24.7,39.9
NY,Rochester,210565,16.4,36.5,11.9,23.1,33.9,37.7,39.7
NY,Schenectady,66135,14.4,32.5,11.2,21.9,31.2,33.4,41.2
NY,Syracuse,145170,14.6,35.1,11.6,23.5,32.2,35.3,40.4
NY,Yonkers,195976,16.5,28.8,9.8,16.1,28.1,27.4,36.7
NC,Asheville,83393,14.6,30.5,9.3,17.2,22.9,28.1,30.8
NC,Cary,135234,12,26.7,8.1,11,18,25.1,29.3
NC,Charlotte,731424,17.6,33,9.5,15.5,24.9,32.4,32.8
NC,Concord,79066,17.8,31.2,9.7,18.5,26.1,31.3,32.4
NC,Durham,228330,18.5,34.2,10,15.8,25.3,32.2,34
NC,Fayetteville,200564,18.7,36.6,10.3,19.8,28.7,35.6,38.5
NC,Gastonia,71741,20.9,34.6,10.5,21.4,31,32.9,37.6
NC,Greensboro,269666,18.1,33.5,10.1,18.2,25.9,34,35.8
NC,Greenville,84554,17.2,35.7,10.3,19,29.5,36.4,39.2
NC,High Point,104371,19.7,33.5,10.2,19.9,27.5,33.6,36.1
NC,Jacksonville,70145,18.5,35.2,9.7,20.5,27.6,35,38.9
NC,Raleigh,403892,15.7,31.8,9.2,14.3,22.4,31.5,32.7
NC,Wilmington,106476,16.6,32.7,9.7,18.5,26.4,31.8,32.4
NC,Winston-Salem,229617,20.5,35.5,10.2,20.5,28.8,34.4,36.2
ND,Fargo,105549,9.8,28.8,8.3,18.5,25.8,31.8,27.6
OH,Akron,199110,13.1,36.7,10.8,25.6,37.2,38.2,43.4
OH,Canton,73007,13.8,35.4,11.2,28,38.2,42.8,42.4
OH,Cincinnati,296943,12.8,37,11,23.3,32.6,37.8,42.9
OH,Cleveland,396815,16.9,39.2,11.7,28.7,38.8,41.2,42.6
OH,Columbus,787033,11.4,34.3,10,22.5,30.2,35.7,38.9
OH,Dayton,141527,14.6,37.6,11.7,27.9,40,42.8,45.2
OH,Parma,81601,10.2,27.5,9.6,22.6,27.5,29.3,34.8
OH,Toledo,287208,13.9,37.8,10.7,26.7,36.2,43.8,43.3
OH,Youngstown,66982,17.9,40.1,11.5,29.6,43.9,46.1,46
OK,Broken Arrow,98850,13.5,31.7,9.7,17.7,28.7,32.1,31.5
OK,Edmond,81405,11.6,31.4,9.6,14.9,24.7,28.7,30.2
OK,Lawton,96867,18.5,37.6,10.4,22.1,35.4,39.1,34.9
OK,Norman,110925,13.7,33.1,9.5,17.8,28.1,34.2,34
OK,Oklahoma City,579999,19.1,36.3,10.4,19.9,32.6,34.4,34.3
OK,Tulsa,391906,18.6,35.8,10.5,20.9,34.2,36.6,34.1
OR,Beaverton,89803,12,26.3,9.7,13.6,20.2,27.7,31
OR,Bend,76639,10.1,25.5,10.3,14.9,18.4,26.4,29.7
OR,Eugene,156185,11.6,26,10.8,17.5,20.3,28.5,30.6
OR,Gresham,105594,15.6,28.5,10.9,21.1,22.9,28,32.3
OR,Hillsboro,91611,13.4,26.5,9.8,14.3,21,28.3,31.3
OR,Medford,74907,14.6,26.3,11.1,22,22.7,27.7,34.5
OR,Portland,583776,11.1,26.6,10.2,16.6,18.7,25.1,30.4
OR,Salem,154637,15.2,28.2,10.7,18.6,23.2,31.5,32.8
PA,Allentown,118032,18.6,32.4,10.7,25.8,31.4,39.8,39.4
PA,Bethlehem,74982,12.7,30,9.9,21.5,26.8,34.8,38.3
PA,Erie,101786,12.4,31.5,11,27.6,30.8,37.1,42.8
PA,Philadelphia,1526006,13.9,35.1,11.5,24.3,30,34.1,42.6
PA,Pittsburgh,305704,9.4,31.8,9.9,21.8,25.2,31.9,40.4
PA,Reading,88082,23.8,35,11,26.6,38.7,43.8,45.4
PA,Scranton,76089,12.1,31.9,10.6,26.9,29.7,36.2,37.5
RI,Cranston,80387,10,29.9,11.4,16.7,26.1,29.5,38.3
RI,Pawtucket,71148,13.7,33.5,12.9,20.4,31.6,34.3,41.4
RI,Providence,178042,16.1,34.6,12.1,18.5,33.3,35.6,41.6
RI,Warwick,82672,8.1,30.5,11.6,17.5,25.6,30.7,36.3
SC,Charleston,120083,12.5,32.2,9.1,15.4,22.1,30.2,33.2
SC,Columbia,129272,17.3,39.2,9.8,19.6,31.8,36.4,38.5
SC,Mount Pleasant,67843,9.5,27.2,8.2,12.3,17.6,25.1,29.2
SC,North Charleston,97471,20.8,39.4,10.3,21.7,31.1,37.4,38.8
SC,Rock Hill,66154,16.9,38.4,10.2,19.3,27.7,35.4,40.9
SD,Rapid City,67956,11.6,31.8,8.9,20.4,24,34.9,27
SD,Sioux Falls,153888,11.4,28,8.3,18,22.7,31.7,27.1
TN,Chattanooga,167674,19.1,38.5,11.1,23.5,31.7,33.9,40.3
TN,Clarksville,132929,17.5,35.3,10.4,22.9,30.9,34,41.3
TN,Knoxville,178874,17.9,35.9,10.5,24.7,30.9,34,37.4
TN,Memphis,646889,22.4,40.6,11.1,24.6,35.4,38.9,41.1
TN,Murfreesboro,108755,15.5,34.8,9.7,20.3,27.7,34.9,37.7
TN,Nashville,601222,17.8,35.6,10.2,19.7,28.6,31.7,39.4
TX,Abilene,117063,24,34,8.7,19.7,33.6,34.8,33.9
TX,Allen,84246,14.5,28.8,7.6,12.3,23.8,27.2,31.8
TX,Amarillo,190695,24.9,33.2,8.8,19.2,33.4,35.4,34.2
TX,Arlington,365438,23.5,34.6,8.9,16.9,31.1,34.2,36.3
TX,Austin,790390,20.6,27.3,8,13.6,23.6,26.5,29.1
TX,Baytown,71802,30.4,32.6,8.5,18.8,32.4,34.8,35.1
TX,Beaumont,118296,24.1,40.2,9.7,19.9,36.1,39,38.1
TX,Brownsville,175023,41.7,34.6,8,15.3,39.4,41.5,35
TX,Bryan,76201,27.3,33.1,9,18.5,32.7,34.7,36.8
TX,Carrollton,119097,22.1,31,8.1,15,29.5,29.2,31.3
TX,College Station,93857,16.7,29.3,8.1,14.5,26,29.2,34.2
TX,Corpus Christi,305215,29.9,33.5,8,16.7,35.6,34.9,34.1
TX,Dallas,1197816,29,35.6,9.2,17.8,34.5,35.2,34.3
TX,Denton,113383,20.1,33,8.6,17.1,30.7,33.1,31.3
TX,Edinburg,77100,37.2,33.6,7.4,14.4,35.8,43,32.8
TX,El Paso,649121,34.1,31.1,7.6,14.8,31.8,35.7,36.9
TX,Fort Worth,741206,25.8,35.7,9.1,17.6,33,36,36.6
TX,Frisco,116989,13.6,28.2,7.6,11.4,22.5,26.7,29.9
TX,Garland,226876,27.8,33.4,8.9,17.9,33.7,32,33.7
TX,Grand Prairie,175396,27.1,33.7,8.8,16.6,32.6,32.9,34.5
TX,Houston,2099451,30.2,33.4,8.2,17.1,31.9,34.4,35.5
TX,Irving,216290,26,32.4,8.5,15.9,32,30.5,32.8
TX,Killeen,127921,22.8,36.9,9.1,18.2,33,38.6,39.2
TX,Laredo,236091,42.2,35.1,7.9,17.7,42.5,42.8,35
TX,League City,83560,15.9,28.8,8.1,15.8,25.7,30.4,33.7
TX,Lewisville,95290,21.1,32.4,8.4,16,30.3,31.5,31.3
TX,Longview,80455,24.2,36.5,9.5,20.4,34.1,36.8,35.7
TX,Lubbock,229573,24.1,33.1,8.8,17.5,32.5,35.6,35.6
TX,McAllen,129877,35.7,32.9,7.5,13.8,34.7,41.8,32.5
TX,McKinney,131117,17.6,30.2,8.1,13.9,26.2,30.1,32.4
TX,Mesquite,139824,26,34.3,9.5,18.8,33.6,33.6,34.1
TX,Midland,111147,24,31.3,8.3,15.6,29.8,33.2,32.7
TX,Mission,77058,38.1,32.8,7.7,14.5,35.3,41.9,32.6
TX,Missouri City,67358,18.8,33.6,8.3,13.2,27,30.2,34.8
TX,Odessa,99940,29.2,32.7,8.6,17.7,34.4,35.8,32.9
TX,Pasadena,149043,35.4,31.4,8,18.3,33.9,34.4,34.2
TX,Pearland,91252,17,30,7.8,12.6,26.9,29.1,31.3
TX,Pharr,70400,43.9,35.1,8,16.3,39.9,45.3,34.3
TX,Plano,259841,15.6,28.6,7.4,11.7,23.9,26.7,31.9
TX,Richardson,99223,16.7,29,7.8,12.8,25,26.5,30.9
TX,Round Rock,99887,19.3,30.5,8,14.4,26.3,29.9,33
TX,San Angelo,93200,25.1,31.6,8.5,17.5,32.6,35.9,34.9
TX,San Antonio,1327407,30.5,33.6,8,16.7,34.8,35,35
TX,Sugar Land,78817,15.2,28.4,6.8,10.9,24,22.6,31.8
TX,Tyler,96900,23.9,37.1,9.2,19.3,32.9,36.4,36
TX,Waco,124805,27.5,37.9,9.5,20.9,36.9,39.5,35.7
TX,Wichita Falls,104553,22.6,35.2,9,20.5,35.1,39.3,38.9
UT,Layton,67311,13.7,26.7,9,10.7,21.5,27.6,30.8
UT,Ogden,82825,21.5,31.8,9.9,14.6,27.2,35.1,34.2
UT,Orem,88328,15,23.7,8.5,7.9,22.4,27.4,30.7
UT,Provo,112488,16,24.4,8.6,8.4,23.7,28.9,31.4
UT,St. George,72897,15.5,25.2,9.3,11.2,23.3,26.4,32.4
UT,Salt Lake City,186440,16.9,26.7,9.2,10.6,23.5,27.3,30.3
UT,Sandy,87461,12.3,24.4,9.1,9.7,20,24.5,28.9
UT,West Jordan,103712,16,25.9,9.4,11.3,23.2,26.5,30.4
UT,West Valley City,129480,23.1,28.8,9.8,13.6,28.9,29.7,32.8
VT,Burlington,42417,9.7,26.5,10.9,16.1,20.4,27.2,29.6
VA,Alexandria,139966,12.6,27.6,8.8,13.3,21.8,27.3,30.9
VA,Chesapeake,222209,13.2,32.9,9.9,17.3,26.5,35,37.8
VA,Hampton,137436,15.3,34.9,10.8,21.8,29.2,39.1,43.3
VA,Lynchburg,75568,15,35,10.3,20.7,29.8,37.6,38
VA,Newport News,180719,16.1,34.5,10.3,20.7,29.2,35.8,38.2
VA,Norfolk,242803,16.1,37.3,10.5,20.6,29.5,35.9,41.7
VA,Portsmouth,95535,16.7,36.5,10.8,21.9,30.6,39.5,45.2
VA,Richmond,204214,17.1,36.4,10.6,20.8,29.6,35.8,39.4
VA,Roanoke,97032,16.9,36.2,10.4,23.1,32.9,36.5,39.8
VA,Suffolk,84585,14.7,34.3,10.2,19.6,28,33.6,41.2
VA,Virginia Beach,437994,12.7,28,9,17.1,23.7,28.4,37.3
WA,Auburn,70180,12.4,26.9,10.2,15.3,19.8,25.3,32.5
WA,Bellevue,122363,7.8,22,8.1,8.3,13.4,17.9,28.5
WA,Bellingham,80885,9.6,27.4,10.4,16.1,18,31.6,31.1
WA,Everett,103019,12.6,31.3,10.3,17.8,23,31.7,37.3
WA,Federal Way,89306,12.9,26.6,9.8,13.8,19.3,24.2,32.6
WA,Kennewick,73917,14.4,29.3,10.5,17.7,23,33.7,33.8
WA,Kent,92411,14.1,27.5,10.1,15,20.7,25.1,33.1
WA,Renton,90927,11.2,25.4,9.3,11.9,17.5,22,31.7
WA,Seattle,608660,8.2,23.9,9,9.9,14.7,21.1,29.1
WA,Spokane,208916,10.6,28.4,11.2,18.7,22.2,30.1,32.7
WA,Spokane Valley,89755,10.1,27.5,11,18.1,21.3,29.1,32.2
WA,Tacoma,198397,11.8,32.2,11.3,18.4,22.8,31.1,37.9
WA,Vancouver,161791,11.1,28.4,10.4,17.6,19.9,34,32.4
WA,Yakima,91067,20.2,31.8,11.3,18.4,28.6,37.7,33.8
WV,Charleston,51400,10.9,39.7,11.3,22.3,28.4,38.8,40.3
WI,Appleton,72623,10,27.1,9.5,18,21.7,32,29.7
WI,Green Bay,104057,12.7,29.7,10.2,19.8,24.3,35.3,36
WI,Kenosha,99218,13,29.6,9.9,20.5,24.6,33.3,34.7
WI,Madison,233209,8.6,25.9,9.1,13.7,18.7,27.5,29.3
WI,Milwaukee,594833,16.2,34.4,11.3,22.4,30.6,36.2,39.2
WI,Racine,78860,15.5,32.1,10.7,21.1,26.5,40.2,39.8
WI,Waukesha,70718,10.1,27.3,9.2,16.5,21.3,31.5,33.2
WY,Cheyenne,59466,16.3,29.1,9.6,18.6,25.6,29.4,33.4
